03_natural_science-20160830-26 | 第三種猩猩：人類的身世與未來〔問世20週年紀念版〕 | 賈德．戴蒙
03_natural_science-20160830-27 | 昨日世界：找回文明新命脈 | 賈德．戴蒙
03_natural_science-20160830-28 | 第六次大滅絕：不自然的歷史 | 伊麗莎白‧寇伯特
03_natural_science-20160830-29 | 給未來總統的物理課：從恐怖主義、能源危機、核能安全、太空競賽到全球暖化背後的科學真相 | 理查．繆勒
03_natural_science-20160830-30 | 無中生有的宇宙：科學家探索宇宙誕生與未來的故事 | 勞倫斯．克勞斯
04_healthcare-20160830-26 | 白袍藥師的黑心履歷：看病吃藥前不看會後悔的52堂課 | Drugs
04_healthcare-20160830-27 | 萬病之王：一部癌症的傳記，以及我們與它搏鬥的故事 | 辛達塔．穆克吉
04_healthcare-20160830-28 | 當呼吸化為空氣：一位天才神經外科醫師最後的生命洞察 | 保羅．卡拉尼提
04_healthcare-20160830-29 | 新腦內革命【暢銷增訂版】：春山茂雄71歲，擁有28歲青春奇蹟！ | 春山茂雄
04_healthcare-20160830-30 | 驚人的「視力回復」眼球操：活到60歲也不會得老花眼的秘密！只要2週，視力從0.2升級至1.5！小孩、上班族、老年人都能做的「3分鐘視力回復療法」 | 中川和宏
01_business_startup-20160830-31 | M型社會 | 大前研一
01_business_startup-20160830-32 | 維基經濟學 | 唐．泰普史考特、安東尼．威廉斯
01_business_startup-20160830-33 | 二十一世紀資本論 | 托瑪．皮凱提
01_business_startup-20160830-34 | 貨幣戰爭2金權天下 | 宋鴻兵
01_business_startup-20160830-35 | 匯率戰爭 | 王曜
02_psychology_growth-20160830-31 | 安靜，就是力量：內向者如何發揮積極的力量 | 蘇珊‧坎恩
02_psychology_growth-20160830-32 | 更快樂：哈佛最受歡迎的一堂課（修訂版） | 塔爾．班夏哈
02_psychology_growth-20160830-33 | 一本讀懂人類圖：擁有被討厭的勇氣前，先讀懂自己的心靈地圖 | 凱倫‧柯瑞
02_psychology_growth-20160830-34 | 象與騎象人 | 強見納．海德特
02_psychology_growth-20160830-35 | 少，但是更好 | 葛瑞格．麥基昂
03_natural_science-20160830-31 | 奇點臨近 | 庫茲韋爾
03_natural_science-20160830-32 | 量子宇宙：一切可能發生的正在發生 | 布萊恩．考克斯、傑夫．富修
03_natural_science-20160830-33 | 黑洞與時間彎曲：愛因斯坦的幽靈 | 基普．索恩
03_natural_science-20160830-34 | 羽毛：自然演化中的奇跡 | 托兒·漢森
03_natural_science-20160830-35 | 醉漢走路：機率如何左右你我的命運和機會 | 曼羅迪諾
04_healthcare-20160830-31 | 醫行天下（上）：尋醫求道 | 蕭宏慈
04_healthcare-20160830-32 | 醫行天下（下）：拉筋拍打治百病 | 蕭宏慈
04_healthcare-20160830-33 | 不生病的生活：新谷飲食法，全美首席胃腸科醫師的健康秘訣 | 新谷弘實
04_healthcare-20160830-34 | 糖、脂肪、鹽：食品工業誘人上癮的三詭計 | 邁可．摩斯
04_healthcare-20160830-35 | 永保青春的飲食—新谷醫師 | 新谷弘實
